image,570816,570817,570818,570819,570820,570821,570823,570824,570825,570839,570841,570842,570843,570844,570845,570846,570848,570851,570853,570854,570863,570864,570865,570866,570867,570868,570870,570871,570872,570878,570888,570889,570890,570891,570892,570893,570896,570897,570899,570956,570957,570958,570959,570961,570962,570963,570969,570970,570976,570977,570981,Human realness,SD realness,Human confidence,SD confidence,Clip Realness,Semantic Similarity,Visual Similarity,Phylogenetic distance,Log Phylogenetic distance,AVG RT Realness,AVG RT Confidence,AVG confidence time_elapsed,AVG time_elapsed realness
swan_peacock,3,2,1,2,1,1,1,1,4,1,1,2,2,4,1,1,4,2,4,1,1,1,1,2,1,4,1,4,2,1,3,2,1,3,2,1,2,1,1,3,1,1,4,2,2,1,3,1,1,1,1,1.8,1.1,3.6,0.8,0.95,0.6,0.91,686,6.53,14.82,15.1,163803.1,162928.9
bee_raccoon,2,1,1,2,1,2,1,1,1,2,1,1,4,3,2,1,4,3,1,1,2,2,1,2,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,0.8,3.6,0.8,0.9,0.66,0.9,686,6.53,14.45,14.7,181550,180670.1
penguin_chicken,2,1,1,1,3,1,1,2,1,1,1,1,2,2,1,3,2,1,1,1,2,2,1,2,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,2,1.4,0.6,3.6,0.8,0.95,0.68,0.9,686,6.53,14.41,14.6,163013.9,162129.3
peacock_deer,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,2,4,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1.3,0.7,3.7,0.8,0.89,0.57,0.89,686,6.53,14.39,14.6,184219.3,182345
peacock_elephant,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.2,0.6,3.8,0.6,0.87,0.56,0.88,686,6.53,14.27,14.5,170715.5,169916.9
bird_ant,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,2,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,0.6,3.8,0.7,0.88,0.6,0.87,686,6.53,14.23,14.5,172763.9,171923.9
ant_raccoon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,1,3,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,0.6,3.8,0.5,0.96,0.6,0.86,686,6.53,14.27,14.5,157672,156863.5
deer_fish,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,3.8,0.5,0.6,0.72,0.88,462,6.14,9.83,10,183052.4,182308
bear_frog,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,0.4,3.7,0.7,0.82,0.63,0.86,352,5.86,7.91,8,169880.5,168635.1
